"periodo","ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rango","descuento"
2016,"ripley","samsung","samsung tv led hd 32'' 32j4000",999,799,32,"S/.500 -
 S/.1500",-0.2002002002002
2016,"ripley","samsung","samsung smart tv led fhd 48"" 3d 48j6400",2799,1999,48,"S/.1500 -
 S/.2500",-0.285816362986781
2016,"ripley","lg","lg smart tv led 43'' full hd 43lh5700",1649,1249,43,"S/.500 -
 S/.1500",-0.242571255306246
2016,"ripley","lg","lg smart tv led 49'' full hd 49lh5700",1999,1699,49,"S/.1500 -
 S/.2500",-0.150075037518759
2016,"ripley","samsung","samsung smart tv 50ju6500 led uhd 50"" - negro",3699,2399,50,"S/.1500 -
 S/.2500",-0.351446336847797
2016,"ripley","lg","lg smart tv led 49"" ultra hd tv 49uh6500",2799,2199,49,"S/.1500 -
 S/.2500",-0.214362272240086
2016,"ripley","lg","lg tv smart full hd 49"" web os 49lh6000",2099,1799,49,"S/.1500 -
 S/.2500",-0.14292520247737
2016,"ripley","samsung","samsung smart tv led 48"" full hd 48j5300",2299,1799,48,"S/.1500 -
 S/.2500",-0.217485863418878
2016,"ripley","haier","haier televisor led le50k5000n 50""",1799,1399,50,"S/.500 -
 S/.1500",-0.222345747637576
2016,"ripley","samsung","samsung smart tv led full hd 40'' 40j5500",2299,1399,40,"S/.500 -
 S/.1500",-0.39147455415398
2016,"ripley","lg","lg tv smart uhd 55"" web os 3 55uh6150",3699,3299,55,"S/.2500 -
 S/.3500",-0.108137334414707
2016,"ripley","aoc","aoc tv led full hd 43'' f1361",NA,1199,43,"S/.500 -
 S/.1500",NA
2016,"ripley","panasonic","panasonic tv led full hd 42'' tc-42as610",1899,999,42,"S/.500 -
 S/.1500",-0.4739336492891
2016,"ripley","haier","haier smart tv 40"" hd le40k5000n",1299,899,40,"S/.500 -
 S/.1500",-0.307929176289453
2016,"ripley","sony","sony tv led 40"" full hd kdl-40r355c",1699,1299,40,"S/.500 -
 S/.1500",-0.235432607416127
2016,"ripley","lg","lg tv led full hd 43'' 43lf5100",1399,1199,43,"S/.500 -
 S/.1500",-0.142959256611866
2016,"ripley","lg","lg tv full hd 43"" 43lh5100",1399,1299,43,"S/.500 -
 S/.1500",-0.0714796283059328
2016,"ripley","lg","lg smart tv web os 40"" full hd 40lf6350",2218,1399,40,"S/.500 -
 S/.1500",-0.369251577998197
2016,"ripley","aoc","aoc smart tv led full hd 49'' le49f1761",1799,1599,49,"S/.1500 -
 S/.2500",-0.111172873818788
2016,"ripley","lg","lg smart tv led 42"" fhd cinema 3d 42lf6450",2299,1699,42,"S/.1500 -
 S/.2500",-0.260983036102653
2016,"ripley","lg","lg smart tv 43"" full hd web os 43lh6000",1699,1399,43,"S/.500 -
 S/.1500",-0.176574455562095
2016,"ripley","samsung","samsung smart tv led fhd 48"" curvo un48j6500",2999,2299,48,"S/.1500 -
 S/.2500",-0.233411137045682
2016,"ripley","samsung","samsung smart tv led full hd 48'' 48j5500",2499,1799,48,"S/.1500 -
 S/.2500",-0.280112044817927
2016,"ripley","haier","haier tv led 55"" full hd le55b8000",1999,1599,55,"S/.1500 -
 S/.2500",-0.200100050025013
2016,"ripley","sony","sony smart tv led full hd 48'' kdl-48w655d",NA,2199,48,"S/.1500 -
 S/.2500",NA
2016,"ripley","lg","lg smart tv led 43"" ultra hd tv 43uf6400",2499,1599,43,"S/.1500 -
 S/.2500",-0.360144057623049
2016,"ripley","aoc","aoc smart tv led full hd 55'' le55f1761",2599,2199,55,"S/.1500 -
 S/.2500",-0.15390534821085
2016,"ripley","sony","sony smart tv 50"" fhd 3d kdl50w805c",3799,2999,50,"S/.2500 -
 S/.3500",-0.210581732034746
2016,"ripley","aoc","aoc smart tv led full hd 43'' le43f1761",1499,1299,43,"S/.500 -
 S/.1500",-0.133422281521014
2016,"ripley","aoc","aoc tv led full hd 49'' le49f1361",NA,1499,49,"S/.500 -
 S/.1500",NA
2016,"ripley","lg","lg smart tv 3d 42"" fhd 42lf6400",2299,1699,42,"S/.1500 -
 S/.2500",-0.260983036102653
2016,"ripley","sony","sony tv led 40"" smart full hd kdl-40r555c - negro",1699,1599,40,"S/.1500 -
 S/.2500",-0.0588581518540318
2016,"ripley","sony","sony smart tv led full hd 40'' kdl-40w655d",NA,1599,40,"S/.1500 -
 S/.2500",NA
2016,"ripley","samsung","samsung smart tv 40""Ä‚ù fhd 3d 40j6400",2299,1599,40,"S/.1500 -
 S/.2500",-0.304480208786429
2016,"ripley","samsung","samsung smart tv led 40'' uhd 40ju6000",1999,1699,40,"S/.1500 -
 S/.2500",-0.150075037518759
2016,"ripley","sony","sony tv led 49"" 4k xbr-49x835c",4999,3499,49,"S/.2500 -
 S/.3500",-0.300060012002401
2016,"ripley","samsung","samsung smart tv led 60'' full hd 60j6300",3999,3599,60,"S/.3500 -
 S/.4500",-0.100025006251563
2016,"ripley","sony","sony smart tv 50"" fhd 3d kdl-50fa95c",4499,3699,50,"S/.3500 -
 S/.4500",-0.177817292731718
2016,"ripley","lg","lg smart tv led 55"" ultra hd tv 55uh6500",3999,3699,55,"S/.3500 -
 S/.4500",-0.0750187546886721
2016,"ripley","lg","lg tv smart super uhd 4k 58"" web os 3 58uh6299",4699,4499,58,"S/.3500 -
 S/.4500",-0.0425622472866567
2016,"ripley","sharp","sharp smart tv led 60'' 4k lc60ue30u",5999,4699,60,"> S/.4,500",-0.2167027837973
2016,"ripley","lg","lg smart tv led 60"" ultra hd tv 60uh6500",4999,4599,60,"> S/.4,500",-0.0800160032006402
2016,"ripley","lg","lg smart tv led 60'' uhd 60uf7700",5799,3999,60,"S/.3500 -
 S/.4500",-0.310398344542162
2016,"ripley","panasonic","panasonic smart tv led 55"" uhd tc-55cx640w",4999,3999,55,"S/.3500 -
 S/.4500",-0.2000400080016
2016,"ripley","sony","sony smart tv 65"" fhd 3d kdl-65w855c",6499,5499,65,"> S/.4,500",-0.153869826127096
2016,"ripley","lg","lg smart tv led 55"" super uhd 3d 4k 55uh8500",5499,5199,55,"> S/.4,500",-0.0545553737043099
2016,"ripley","lg","lg smart tv 60"" uhd 3d 60uf8500",7999,5099,60,"> S/.4,500",-0.362545318164771
2016,"ripley","lg","lg smart tv led 65"" ultra hd 4k 65uf6800",7299,4899,65,"> S/.4,500",-0.328812166050144
2016,"ripley","lg","lg smart tv 65uf7700 65"" ultra hd 4k",8499,5899,65,"> S/.4,500",-0.30591834333451
2016,"ripley","sony","sony tv led ultra delgado 55""  4k xbr-55x905c",8999,6999,55,"> S/.4,500",-0.222246916324036
2016,"ripley","lg","lg smart tv oled full hd 55'' 3d curvo 55eg9100",9999,6399,55,"> S/.4,500",-0.36003600360036
2016,"ripley","lg","lg smart tv 55""Ä‚ù uhd 3d 55uf9500",9699,6499,55,"> S/.4,500",-0.329930920713476
2016,"ripley","sony","sony tv led ultra delgado 65"" ultra hd 4k xbr-65x905c",12999,9999,65,"> S/.4,500",-0.230786983614124
2016,"ripley","samsung","samsung smart tv led uhd 75"" 75ju6500",14599,9999,75,"> S/.4,500",-0.315090074662648
2016,"ripley","samsung","samsung smart tv led 55'' super uhd curvo 55ks9000",NA,10999,55,"> S/.4,500",NA
2016,"ripley","samsung","samsung smart tv led 65'' super uhd curvo 65ks9000",NA,14999,65,"> S/.4,500",NA
2016,"ripley","lg","lg smart tv curvo 65'' oled uhd 3d 65g9600",24999,17900,65,"> S/.4,500",-0.283971358854354
2016,"ripley","lg","lg smart tv led 49"" full hd web os 2 49lf5900",2399,1599,49,"S/.1500 -
 S/.2500",-0.333472280116715
2016,"ripley","haier","haier tv led le40b8000 full hd 40""",1099,799,40,"S/.500 -
 S/.1500",-0.272975432211101
2016,"ripley","samsung","samsung smart tv led hd 32"" 32j4300",1299,899,32,"S/.500 -
 S/.1500",-0.307929176289453
2016,"ripley","haier","haier televisor led 28"" hd le28f6600",599,499,28,"< S/.500",-0.1669449081803
2016,"ripley","lg","lg tv 32"" hd 32lf550b",999,699,32,"S/.500 -
 S/.1500",-0.3003003003003
2016,"ripley","haier","haier smart tv  32'' le32k5000n",999,699,32,"S/.500 -
 S/.1500",-0.3003003003003
2016,"ripley","haier","haier tv le24b8000 led hd 24"" - negro",499,399,24,"< S/.500",-0.200400801603206
2016,"ripley","aoc","aoc tv led 40"" full hd le40f1551",NA,999,40,"S/.500 -
 S/.1500",NA
2016,"ripley","sony","sony tv led 32"" hd 32r305c",1199,899,32,"S/.500 -
 S/.1500",-0.250208507089241
2016,"ripley","haier","haier tv led hd 32'' le32b7000",699,649,32,"S/.500 -
 S/.1500",-0.0715307582260372
2016,"ripley","sharp","sharp smart tv led full hd 70'' sq17u",8499,6499,70,"> S/.4,500",-0.235321802565008
2016,"ripley","aoc","aoc tv led hd 32'' le32w454f",799,699,32,"S/.500 -
 S/.1500",-0.125156445556946
2016,"ripley","lg","lg tv led hd 32'' 32lf510b",999,779,32,"S/.500 -
 S/.1500",-0.22022022022022
2016,"ripley","aoc","aoc tv led 32"" hd le32h1352",799,699,32,"S/.500 -
 S/.1500",-0.125156445556946
2016,"ripley","lg","lg tv led 24mt47a 23.6""",NA,569,23.6,"S/.500 -
 S/.1500",NA
2016,"ripley","panasonic","panasonic tv led hd 32'' tc-32a400l",999,899,32,"S/.500 -
 S/.1500",-0.1001001001001
2016,"ripley","aoc","aoc tv led hd 32'' le32w354f",799,699,32,"S/.500 -
 S/.1500",-0.125156445556946
2016,"falabella","lg","led curvo 65eg9600 o...",NA,19999,65,"> S/.4,500",NA
2016,"falabella","samsung","led 48"" un48ju6000",2799,1899,48,"S/.1500 -
 S/.2500",-0.321543408360129
2016,"falabella","lg","oled 55eg9100 55"" we...",9999,6999,55,"> S/.4,500",-0.3000300030003
2016,"falabella","sony","led 49"" xbr-49x835c",4999,3499,49,"S/.2500 -
 S/.3500",-0.300060012002401
2016,"falabella","aoc","led full hd 55"" smar...",2599,2199,55,"S/.1500 -
 S/.2500",-0.15390534821085
2016,"falabella","lg","led 49"" ultra hd web...",2999,2299,49,"S/.1500 -
 S/.2500",-0.233411137045682
2016,"falabella","sony","led 65"" kdl65w855c",6999,5499,65,"> S/.4,500",-0.214316330904415
2016,"falabella","lg","led 55"" super ultra ...",5999,5199,55,"> S/.4,500",-0.133355559259877
2016,"falabella","aoc","led 43"" full hd smar...",1499,1299,43,"S/.500 -
 S/.1500",-0.133422281521014
2016,"falabella","lg","led 49"" full hd smar...",2599,1799,49,"S/.1500 -
 S/.2500",-0.307810696421701
2016,"falabella","sony","led 55"" kdl55w805c",4999,3999,55,"S/.3500 -
 S/.4500",-0.2000400080016
2016,"falabella","panasonic","led 40"" smart tv tc-...",1699,1499,40,"S/.500 -
 S/.1500",-0.117716303708064
2016,"falabella","samsung","led 43"" un43ju6000",2099,1599,43,"S/.1500 -
 S/.2500",-0.238208670795617
2016,"falabella","lg","led uhd smart web os...",11999,8999,70,"> S/.4,500",-0.250020835069589
2016,"falabella","lg","led 43"" 43uf6400",2499,1699,43,"S/.1500 -
 S/.2500",-0.320128051220488
2016,"falabella","samsung","led 55"" 55j5500",3499,2399,55,"S/.1500 -
 S/.2500",-0.314375535867391
2016,"falabella","lg","led 42"" 42lf6500",2299,1799,42,"S/.1500 -
 S/.2500",-0.217485863418878
2016,"falabella","samsung","led 50"" 50j5500",1799,1699,50,"S/.1500 -
 S/.2500",-0.0555864369093941
2016,"falabella","sony","led 55"" android tv x...",5999,4499,55,"S/.3500 -
 S/.4500",-0.250041673612269
2016,"falabella","lg","led 43"" full hd smar...",1399,1299,43,"S/.500 -
 S/.1500",-0.0714796283059328
2016,"falabella","aoc","led 49"" full hd smar...",1799,1599,49,"S/.1500 -
 S/.2500",-0.111172873818788
