periodo,ecommerce,marca,producto,precio.antes,precio.actual,pulgadas,rango,descuento
2017,ripley,lg,"LG SMART TV SUPER UHD 86"" 3D 86UH9550",29999,21499,86,"> S/.4,500",-0.283342778
2017,falabella,lg,"led 86"" uhd 3d smart...",29999,19299,86,"> S/.4,500",-0.356678556
2017,linio,NA,xen„≥n ‚<U+0080><U+0093> tv led digital 7‚<U+0080>ù ptv-750d,249,219,80,< S/.500,-0.120481928
2017,linio,xenon,xenon ‚<U+0080><U+0093> tv led digital 9‚<U+0080>ù ptv-950d,299,239,80,< S/.500,-0.200668896
2017,falabella,samsung,"led 78"" 78ku6 curvo ...",15999,12999,78,"> S/.4,500",-0.187511719
2017,falabella,samsung,"led 78"" suhd curvo s...",39999,19999,78,"> S/.4,500",-0.5000125
2016,ripley,samsung,"samsung smart tv led uhd 75"" 75ju6500",14599,9999,75,"> S/.4,500",-0.315090075
2016,falabella,lg,"led 75"" ultra hd sma...",13999,10999,75,"> S/.4,500",-0.214301022
2017,ripley,sony,"SONY SMART TV UHD 75"" XBR-75X855D",16999,11999,75,"> S/.4,500",-0.294134949
2017,ripley,lg,"LG SMART TV SUPER UHD 75"" 3D 75UH8550",14999,11299,75,"> S/.4,500",-0.246683112
2017,ripley,samsung,SAMSUNG SMART TV UHD 75‚<U+0080>ù 75JU6500,NA,14599,75,"> S/.4,500",NA
2017,ripley,lg,"LG SMART TV UHD 75"" 75UH6550",13999,9499,75,"> S/.4,500",-0.321451532
2017,falabella,sony,"led 75"" 4k uhd andro...",16999,11999,75,"> S/.4,500",-0.294134949
2017,linio,sony,"televisor sony android ultra hd 4k smart 75"" triluminos motion flow xr960 xbr-75x855d",14999,13200,75,"> S/.4,500",-0.119941329
2016,ripley,sharp,sharp smart tv led full hd 70'' sq17u,8499,6499,70,"> S/.4,500",-0.235321803
2016,falabella,lg,led uhd smart web os...,11999,8999,70,"> S/.4,500",-0.250020835
2017,ripley,lg,"LG SMART TV UHD 70"" 70UH6350",11999,7999,70,"> S/.4,500",-0.333361113
2017,falabella,lg,"led 70"" uhd webos 3 ...",11999,7299,70,"> S/.4,500",-0.391699308
2016,ripley,sony,"sony smart tv 65"" fhd 3d kdl-65w855c",6499,5499,65,"> S/.4,500",-0.153869826
