"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","recojo.tienda","solo.online"
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15810466/Monitor-TV-23,6-HD-LT24E310;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 499","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/15805910/MacBook-13,3-Pro-Intel-Core-i5-4-GB-500-GB;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 2,999","S/ 2,899","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15724402/Notebook-Intel-Core-i5-8GB-1TB-15.6''-Rojo;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 2,799","S/ 2,099","4",NA
"2017-08-23","televisores","falabella","Asus","/falabella-pe/product/15723433/Notebook-15.6-Intel-Celeron-4GB-500GB;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 1,199","S/ 1,099","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773818/Notebook-15,6-AMD-A9-4-GB-1-TB-2GB-Video;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 1,899","S/ 1,399","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773820/Notebook-15.6-Intel-Core-i5-HD-8GB-1TB-2GB-Video-Silver;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 2,499","S/ 2,099","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/14871932/Impresora-Multifuncional-L575-EcoTank;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 999","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773824/Notebook-15,6-Intel-Core-i7-8-GB-1-TB-2GB-Video-Blanco;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 3,699","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15758988/Notebook-Intel-Core-i3-15.6''-4GB-1TB-Blanco;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 1,499","S/ 1,399","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/15776248/Impresora-Multifuncional-L495-Ecotank;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 849","4",NA
"2017-08-23","televisores","falabella","Dell","/falabella-pe/product/15823953/All-in-One-Intel-Pentium-19,5-4-GB-1-TB-HD;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 1,399","4",NA
"2017-08-23","televisores","falabella","LG","/falabella-pe/product/15838122/All-in-One-23,8-Intel-Pentium-4-GB-500-GB-Blanco;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 1,699",NA,NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15047312/Tablet-Tab-S2-8''-Dorada-+-Cover;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push",NA,"S/ 1,599","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/15752788/Nuevo-iPad-Retina-9.7-Wi-fi-32-GB-Gris-Espacial;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 2,099","S/ 1,299","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/15752787/Nuevo-iPad-Retina-9.7-Wi-fi-32-GB-Dorado;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 2,099","S/ 1,299","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15196162/Notebook-Ci3-15''-1TB-8GB-Silver;jsessionid=lAcoeSjP9cYAm3SQ0MicNfOb.node4?navAction=push","S/ 1,699","S/ 1,599","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15123582/Multifuncional-Office-Jet-Pro-6970-Negro?navAction=push",NA,"S/ 299","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15846648/All-in-one-23,8-Intel-Core-i5-8-GB-1-TB-Touch-Negro?navAction=push","S/ 3,999","S/ 2,999","4",NA
"2017-08-23","televisores","falabella","Leotec","/falabella-pe/product/15186288/Tablet-7-LETAB726-3G-Stellar?navAction=push","S/ 249","S/ 199","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15047314/Tablet-9,7-Galaxy-Tab-S2-3-GB-32-GB-+-Cover?navAction=push",NA,"S/ 1,999","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15047316/Tablet-Tab-S2-9.7-Dorada-+-Cover?navAction=push",NA,"S/ 1,999","4",NA
"2017-08-23","televisores","falabella","Western Digital","/falabella-pe/product/15142468/Disco-Duro-Elements-Portable-750-GB?navAction=push",NA,"S/ 199","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/14915424/iPad-Pro-Wifi-32-GB-Oro-Rosa?navAction=push","S/ 2,599","S/ 2,299","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/14912018/iPad-Pro-Wifi-32-GB-Gris-Espacial?navAction=push","S/ 2,599","S/ 2,299","4",NA
"2017-08-23","televisores","falabella","Apple","/falabella-pe/product/14912019/iPad-Pro-Wifi-32-GB-Dorado?navAction=push","S/ 2,599","S/ 2,299","4",NA
"2017-08-23","televisores","falabella","Advance","/falabella-pe/product/15832745/All-in-One-21,5-Intel-Core-i5-4-GB-1-TB-Silver?navAction=push","S/ 2,699","S/ 2,299",NA,NA
"2017-08-23","televisores","falabella","Dell","/falabella-pe/product/15143919/Notebook-15,6-Intel-Core-i7-8-GB-1-TB?navAction=push","S/ 3,399","S/ 3,199","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15157422/Galaxy-Tab-A-10.1''-con-S-Pen-Negro?navAction=push",NA,"S/ 1,399","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15157423/Galaxy-Tab-A-10.1''-con-S-Pen-Blanco?navAction=push",NA,"S/ 1,399","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/14603383/Impresora-L310-C11CE57303-Ecotank?navAction=push",NA,"S/ 549","4",NA
"2017-08-23","televisores","falabella","Dell","/falabella-pe/product/15143915/Notebook-i3-6100U-4GB-500GB-W10-13.3''?navAction=push","S/ 2,199","S/ 1,999","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773817/Notebook-15,6-Intel-Core-i3-HD-4-GB-1-TB?navAction=push","S/ 1,699","S/ 1,349","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15157421/Galaxy-Tab-Kids-7''-Blanco?navAction=push",NA,"S/ 449","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/14466754/Galaxy-Tab-E-7-Negro?navAction=push",NA,"S/ 399","4",NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15834387/Notebook-14-Intel-Pentium-4-GB-500-GB-HD-Silver?navAction=push","S/ 1,499","S/ 1,099","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15047324/Tablet-9,7-Galaxy-Tab-S2-3-GB-32-GB-Dorado?navAction=push",NA,"S/ 1,899","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15047310/Tablet-Tab-S2-8''-Negro-+-Cover?navAction=push",NA,"S/ 1,599","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15784315/Tablet-9,7-Galaxy-Tab-S3-Silver-+-Cover-Negro-F-SM-T820NZSAP?navAction=push",NA,"S/ 2,399","4",NA
"2017-08-23","televisores","falabella","Western Digital","/falabella-pe/product/14739547/Disco-Duro-Externo-2TB-USB-3.0?navAction=push",NA,"S/ 339","4",NA
"2017-08-23","televisores","falabella","Western Digital","/falabella-pe/product/14736732/Disco-Duro-1-TB-USB-3.0-Negro?navAction=push",NA,"S/ 239","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773821/Notebook-15,6-Intel-Core-i5-HD-8-GB-1-TB-Silver?navAction=push",NA,"S/ 2,499","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773819/Notebook-14-Intel-Core-i3-HD-4-GB-500-GB-Silver-360°?navAction=push",NA,"S/ 1,999","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/14956023/Notebook-15,6-Intel-Core-i5-8-GB-2GB-Video-1-TB-Silver?navAction=push",NA,"S/ 2,499","4",NA
