"fecha","categoria","ecommerce","producto","precio.antes","precio.actual"
"2017-08-28","televisores","linio","TV LED IMACO HD 19'' - LED19HD NEGRO","S/ 499.00","S/ 319.00"
"2017-08-28","televisores","linio","Samsung TV Curved Smart Full HD 49""  UN49K6500AG - Negro","S/ 2,799.00","S/ 1,599.00"
"2017-08-28","televisores","linio","Daewoo - Televisor Digital L32S635BKS HD Pantalla LED 32¬¥¬¥","S/ 799.00","S/ 555.00"
"2017-08-28","televisores","linio","Televisor Samsung LED Smart Full HD 40'' UN40J5500 - Plateado","S/ 1,999.00","S/ 1,211.00"
"2017-08-28","televisores","linio","AOC SMART TV 32'' HD LE32D5542- Negro","S/ 999.00","S/ 729.00"
"2017-08-28","televisores","linio","Samsung Ultra HD 4K Smart TV Tizen 40'' UN40KU6000 - Negro","S/ 2,499.00","S/ 1,359.00"
"2017-08-28","televisores","linio","Televisor LG 32LF595B Smart TV 32"" HD WebOS 2.0-Negro","S/ 1,299.00","S/ 879.00"
"2017-08-28","televisores","linio","Samsung TV Curved Smart Full HD 49""  UN49K6500AG - Negro","S/ 3,499.00","S/ 1,710.00"
"2017-08-28","televisores","linio","LG - TV Monitor LED 23.6"" HD - 24MT48AF","S/ 699.00","S/ 459.00"
"2017-08-28","televisores","linio","Televisor AOC TV HD SMART LED 32‚<U+0080><U+009C> LE32D5542 + RACK FIJO","S/ 899.00","S/ 779.00"
"2017-08-28","televisores","linio","Tv Led Panasonic TC-40DS600L Smart Full Hd - Negro","S/ 1,499.00","S/ 1,049.00"
"2017-08-28","televisores","linio","LG Smart TV Full HD LED  32'' 32LH570B","S/ 999.00","S/ 889.00"
"2017-08-28","televisores","linio","Samsung TV Ultra HD 4K Smart Tizen 50'' Tizen ESPECTACULAR UN50KU6000G - COLOR NEGRO","S/ 2,900.00","S/ 1,929.00"
"2017-08-28","televisores","linio","Televisor AOC LE32H1352 TV LED HD 32"" - Negro","S/ 899.00","S/ 679.00"
"2017-08-28","televisores","linio","Samsung TV Ultra HD 4K Smart Tizen 49'' Tizen UN49KU6400 - Negro","S/ 3,799.00","S/ 1,899.00"
"2017-08-28","televisores","linio","Televisor LG Smart TV 4K 49'' UHD 49UH6110","S/ 3,299.00","S/ 1,799.00"
"2017-08-28","televisores","linio","TV Samsung Smart 32'' UN32J4300 HD - Negro","S/ 1,099.00","S/ 859.00"
"2017-08-28","televisores","linio","TV LED IMACO HD 19'' - LED -19 HD NEGRO VERSI√<U+0093>N 2017","S/ 400.00","S/ 399.00"
"2017-08-28","televisores","linio","Televisor Exclusivo Para Hoteles Marca Nadal Modelo FHD-R32 LED 32"" Full HD - Negro DISE√<U+0091>ADO EN USA","S/ 720.00","S/ 549.00"
"2017-08-28","televisores","linio","TV LED PANASONIC TC-49DX650W UHD 4K 49"" Smart, Bluetooth - Plomo","S/ 2,499.00","S/ 1,699.00"
"2017-08-28","televisores","linio","LG Televisor LED Full HD Smart 43"" 43LH5700","S/ 1,699.00","S/ 1,189.00"
"2017-08-28","televisores","linio","Samsung LED TV Curvo Smart Full HD 40"" 40K6500 + USB 8GB","S/ 2,199.00","S/ 1,375.00"
"2017-08-28","televisores","linio","Decodificador Se√±al Digital Digi TV HD","S/ 199.00","S/ 129.00"
"2017-08-28","televisores","linio","Televisor Samsung Un40k6500 Curvo Smart - Color Negro ","S/ 1,699.00","S/ 1,479.00"
"2017-08-28","televisores","linio","LG Smart TV WebOS 2.0 3D Full HD 42'' 42LF6450","S/ 1,999.00","S/ 1,359.00"
"2017-08-28","televisores","linio","LG Ultra HD 4K Smart TV WebOs 3.0 LED 43'' 43UH6100","S/ 1,799.00","S/ 1,699.00"
"2017-08-28","televisores","linio","Microfono Profesional Flexible Para Conferencia,base De Mesa","S/ 165.00","S/ 119.00"
"2017-08-28","televisores","linio","Samsung LED 49"" UN49KU6300 Curvo UHD Smart","S/ 3,599.00","S/ 1,928.00"
"2017-08-28","televisores","linio","Samsung Tv LED Curvo UHD Smart 49"" UN49KU6300","S/ 3,599.00","S/ 1,799.00"
"2017-08-28","televisores","linio","Miray TV LED 19"" - LEDOM-1911-Negro",NA,"S/ 599.00"
"2017-08-28","televisores","linio","TV LED 32"" TELSTAR TTL032430KK con Sintonizador Digital","S/ 799.00","S/ 469.00"
"2017-08-28","televisores","linio","TELEVISOR SMART FULL HD NADAL TVLEDSMART-R32 - NEGRO DISE√<U+0091>ADO EN USA","S/ 850.00","S/ 699.00"
"2017-08-28","televisores","linio","Televisor Samsung LED Smart Full HD 40'' UN40J5500 - Plateado","S/ 1,600.00","S/ 1,249.00"
"2017-08-28","televisores","linio","Televisor LG Ultra HD 4K Smart TV WebOs 3.0 LED 49'' 49UH6100","S/ 3,499.00","S/ 1,799.00"
"2017-08-28","televisores","linio","Tv Led AOC LE32M3370 HD 32"" - Negro","S/ 899.00","S/ 677.00"
"2017-08-28","televisores","linio","LG - TELEVISOR 43"" ULTRA HD 4K 43UH6110 SMART TV - COLOR NEGRO","S/ 1,999.00","S/ 1,449.00"
"2017-08-28","televisores","linio","LG SMART TV FHD 43'' 43LJ5500","S/ 1,500.00","S/ 1,299.00"
"2017-08-28","televisores","linio","LEOTEC TV BOX ANDROID PC 4K OCTA3GB ( 4K-OCTACORE-3GB-32GB-HDMI2.0-BLUETOOTH-DUALWIFI-GIGALAN-ANDROID 6.0)","S/ 610.00","S/ 489.00"
"2017-08-28","televisores","linio","ESPECTACULAR TV Samsung Smart TV Curvo Ultra HD 4K 65'' Tizen UN65KU6300 - Negro","S/ 9,999.00","S/ 4,899.00"
"2017-08-28","televisores","linio","TV Samsung Ultra HD 4K Smart Tizen 55'' UN55KU6400","S/ 3,999.00","S/ 2,887.00"
"2017-08-28","televisores","linio","Tv Led  AOC  39'' LE39M1365 HD DIGITAL -  VERSI√<U+0093>N 2017","S/ 900.00","S/ 899.00"
"2017-08-28","televisores","linio","LG - TELEVISOR MODELO 2016  LG TV LED FULL HD 49"" - 49LH5100","S/ 1,700.00","S/ 1,299.00"
"2017-08-28","televisores","linio","SAMSUNG SMART TV UHD 55"" CURVO 55KU6500","S/ 5,999.00","S/ 2,899.00"
"2017-08-28","televisores","linio","TV Samsung Smart UHD 55'' 55MU6400","S/ 4,599.00","S/ 2,799.00"
"2017-08-28","televisores","linio","SAMSUNG SMART TV UHD 55'' CURVO 55MU6300","S/ 3,999.00","S/ 2,799.00"
"2017-08-28","televisores","linio","Samsung TV Ultra HD 4K Smart Tizen 55'' Tizen UN55KU6000 - Negro","S/ 2,700.00","S/ 2,379.00"
"2017-08-28","televisores","linio","Televisor Samsung UN32J4300 Smart TV LED HD 32''-Negro","S/ 1,299.00","S/ 859.00"
"2017-08-28","televisores","linio","LG Ultra HD 4K Smart TV WebOs 3.0 LED 43'' 43UH6100","S/ 1,699.00","S/ 1,417.00"
"2017-08-28","televisores","linio","TELEVISOR  UHD 4K Smart TV - 65"" - UN65KU6000GXPE - Series 6 - SAMSUNG","S/ 6,500.00","S/ 4,799.00"
"2017-08-28","televisores","linio","Televisor Lg 49"" Uhd Smart Webos 3.5 49uj6300 - Color Negro","S/ 2,100.00","S/ 1,870.00"
"2017-08-28","televisores","linio","Tv Led AOC LE32M3370 HD 32"" - Negro","S/ 800.00","S/ 599.00"
"2017-08-28","televisores","linio","TV LED PANASONIC TC-32DS600L Smart WiFi Bluetooth - Negro","S/ 1,099.00","S/ 859.00"
"2017-08-28","televisores","linio","TV MONITOR Samsung T24E310LB LED HD 24''- NEGRO","S/ 699.00","S/ 480.00"
"2017-08-28","televisores","linio","TELEVISOR AOC LED 32'' - FULL HD - LE32H1352 - AOC - VERSION 2017 CON SE√<U+0091>AL DIGITAL","S/ 899.00","S/ 629.00"
"2017-08-28","televisores","linio","AOC TV HD SMART LED 32‚<U+0080><U+009C> LE32D5542 GRATIS RACK FIJO","S/ 999.00","S/ 789.00"
"2017-08-28","televisores","linio","Samsung TV Monitor LED HD 24'' - LT24E310","S/ 649.00","S/ 519.00"
"2017-08-28","televisores","linio","LG SMART TV UHD 49'' 49UJ6300","S/ 3,199.00","S/ 1,689.00"
"2017-08-28","televisores","linio","Samsung - Televisor LED Full HD 40"" Smart 3D UN40J6400 - Negro","S/ 1,999.00","S/ 1,299.00"
"2017-08-28","televisores","linio","LG SMART TV UHD 43'' 43UJ6300","S/ 1,799.00","S/ 1,569.00"
"2017-08-28","televisores","linio","TELEVISOR SONY ANDROID TV ULTRA HD 4K SMART 55"" Triluminos Motion Flow XR960 XBR-55X855D","S/ 8,000.00","S/ 4,499.00"
"2017-08-28","televisores","linio","Panasonic TV LED  32'' - TC-32C400L","S/ 999.00","S/ 695.00"
"2017-08-28","televisores","linio","AOC - Televisor LED 49'' Full HD LE49F1361 - COLOR NEGRO","S/ 1,499.00","S/ 1,199.00"
"2017-08-28","televisores","linio","TV DAEWOO L32S645ATS LED 32"" HD Negro","S/ 899.00","S/ 569.00"
"2017-08-28","televisores","linio","Tv Led Monitor LG 24MT48AF - Negro","S/ 699.00","S/ 459.00"
"2017-08-28","televisores","linio","TELEVISOR SMART PANASONIC DE 32"" MODELO TC-32DS600L WI-FI DIRECTO NUEVA LINEA 2016","S/ 1,320.00","S/ 899.00"
"2017-08-28","televisores","linio","Tv Led  Daewoo L32R630BKSP LED hd 32"" Sintonizador Digital 720p - Negro","S/ 799.00","S/ 589.00"
"2017-08-28","televisores","linio","TV LED Samsung UN60J6300AG Smart Tizen Full HD 60'' - Negro","S/ 4,999.00","S/ 2,757.00"
"2017-08-28","televisores","linio","LG Ultra HD 4K Smart TV WebOs 3.0 LED 49'' 49UH6500.","S/ 2,499.00","S/ 2,149.00"
"2017-08-28","televisores","linio","Televisor Smart Led Full HD WiFi 43"" AOC LE43F1761-VERSI√<U+0093>N 2018-Negro","S/ 1,500.00","S/ 1,179.00"
"2017-08-28","televisores","linio","Micronics - Parlante Multimedia Demon Bluetooth 80w, Con Bluetooth, Radio, Usb","S/ 199.00","S/ 149.99"
"2017-08-28","televisores","linio","Micronics - Parlante Bluetooth Furia Subwofer,fm, Usb, 70 Wats, Nuevo","S/ 210.00","S/ 139.00"
"2017-08-28","televisores","linio","LG TV Smart Ultra HD 60""  60UH6150  - Negro","S/ 7,000.00","S/ 3,999.00"
"2017-08-28","televisores","linio"," Xenon ‚<U+0080><U+0093> TV Led Digital 9‚<U+0080>ù PTV-950D","S/ 299.00","S/ 239.00"
"2017-08-28","televisores","linio","Nex Televisor LED HD 32"" LED3208SMR smart tv","S/ 999.00","S/ 699.00"
"2017-08-28","televisores","linio","Televisor Samsung 55 Pulg LED Ultra HD UN55KU6400G ","S/ 3,499.00","S/ 2,399.00"
"2017-08-28","televisores","linio","Televisor LG 43LH5730 Full HD Smart  43'' WiFi  - Negro","S/ 1,499.00","S/ 1,295.00"
"2017-08-28","televisores","linio","Samsung TV Curved Smart 3D SUHD Tizen 65'' UN65JS9000 - Plateado","S/ 13,999.00","S/ 11,699.00"
"2017-08-28","televisores","linio","Televisor Led Smart UHD 4K  Flat 49"" Samsung UN49MU6100G-Negro","S/ 3,699.00","S/ 1,897.00"
"2017-08-28","televisores","linio","Micronics - Parlante Bluetooth 100Wats Woofer 2.1, Radio fm, usb, Luz Leds ","S/ 295.00","S/ 249.99"
"2017-08-28","televisores","linio","Sony - Televisor LED Full HD 48"" Smart KDL-48W655D - Negro","S/ 2,499.00","S/ 2,119.00"
"2017-08-28","televisores","linio","LG SMART TV UHD 55'' 55UJ6510 4k","S/ 3,199.00","S/ 2,999.00"
"2017-08-28","televisores","linio","Samsung Smart TV Curvo Ultra HD 4K 49'' Tizen UN49KU6500","S/ 3,499.00","S/ 2,199.00"
"2017-08-28","televisores","linio","Televisor Lg Uhd 4k Smart Webos 3.5  49"" 49uj6510 - Color Negro","S/ 2,799.00","S/ 2,599.00"
"2017-08-28","televisores","linio","TV Led LG 55"" Smart Webos 3.5 Full HD Wi-fi 55LJ5550 - Negro","S/ 2,999.00","S/ 2,049.00"
"2017-08-28","televisores","linio","LG Ultra HD 4K Smart TV WebOs 3.0 LED 55'' 55UH6150","S/ 2,999.00","S/ 2,899.00"
"2017-08-28","televisores","linio","TV Monitor LED 24"" HD - 24MT48AF - LG - MODELO 2017","S/ 590.00","S/ 470.00"
"2017-08-28","televisores","linio","Samsung LED TV Curvo Smart Full HD 40"" 40K6500",NA,"S/ 2,199.00"
"2017-08-28","televisores","linio","Haier TV LED LIVE GREEN 24 LE24B8000","S/ 699.00","S/ 499.00"
"2017-08-28","televisores","linio","Televisor LG 32"" LED, HD 32LW340C, 1366 x 768","S/ 1,130.00","S/ 1,115.00"
"2017-08-28","televisores","linio","LG Smart TV HD LED 32'' 32LH570B","S/ 1,299.00","S/ 1,049.00"
"2017-08-28","televisores","linio"," TV led LG 43UF6400 Smart WebOs 2.0 Ultra HD 4K 43"" - Negro","S/ 1,999.00","S/ 1,469.00"
"2017-08-28","televisores","linio","Televisor Lg 49lj5500 Smart 49"" Webos 3.5 Fhd - Color Negro","S/ 2,099.00","S/ 1,498.00"
"2017-08-28","televisores","linio","Tv Led LG 49UJ6300 Smart UHDTV 4K Web Os 3.5 - Negro","S/ 2,499.00","S/ 1,799.00"
"2017-08-28","televisores","linio","LG TV LED FULL HD 32"" 32LH5000 - Negro","S/ 890.00","S/ 749.00"
"2017-08-28","televisores","linio","Samsung SMART TV UHD 55'' 55MU6100","S/ 3,799.00","S/ 2,659.00"
"2017-08-28","televisores","linio","Televisor AOC TV HD SMART LED 32‚<U+0080><U+009C> LE49D5542 + RACK FIJO","S/ 1,699.00","S/ 1,349.00"
"2017-08-28","televisores","linio","H96 PRO Amlogic S912 Octa-Core TV Box w/ 3GB DDR3, 32 GB de memoria ROM (enchufe UE)","S/ 356.00","S/ 285.00"
"2017-08-28","televisores","linio","Samsung Smart TV UHD 49'' CURVO 49MU6300","S/ 3,599.00","S/ 2,249.00"
"2017-08-28","televisores","linio","Samsung SMART TV UHD 55'' CURVO 55MU6300","S/ 3,999.00","S/ 2,719.00"
"2017-08-28","televisores","linio","Televisor Led Smart UHD 4K Flat 55"" Samsung UN55MU6100G-Negro","S/ 4,297.00","S/ 2,697.00"
"2017-08-28","televisores","linio","Samsung - Televisor LED Full HD 49"" Smart UN49J5200AG - Negro","S/ 1,799.00","S/ 1,539.00"
"2017-08-28","televisores","linio","Televisor Sony KDL-32R505C LED 32""  - Negro","S/ 1,499.00","S/ 899.00"
"2017-08-28","televisores","linio","Samsung Smart TV Tizen Full HD  55'' UN55J5500 - Negro","S/ 3,999.00","S/ 2,399.00"
"2017-08-28","televisores","linio","Samsung TV LED HD 32'' UN32J4000 - Negro","S/ 1,199.00","S/ 695.00"
"2017-08-28","televisores","linio","Televisor Lg 49"" Uhd Smart  Webos 3.5 49uj6300 - Color Negro","S/ 2,399.00","S/ 1,879.00"
"2017-08-28","televisores","linio","Sony TV LED Full HD 40'' - KDL-40R355C","S/ 1,499.00","S/ 1,389.00"
"2017-08-28","televisores","linio","9,8 Pulgadas Tft Lcd De Pantalla Digital Multimedia Portable Video Reproductor De Tv Con Control Remoto, Soporte Tv, Funcion De Radio Fm, Disco De U Y Tf Tarjeta De Lectura","S/ 332.00","S/ 298.00"
"2017-08-28","televisores","linio","LG TV FULL HD 43"" 43LH5100","S/ 1,499.00","S/ 1,159.00"
"2017-08-28","televisores","linio","TV LED PANASONIC TC-32DS600L Smart WiFi  Negro","S/ 1,299.00","S/ 1,099.00"
"2017-08-28","televisores","linio","TELEVISOR Full HD Smart TV WebOs 3.0 LED 43'' 43LH6000 - LG - SUPER OFERTA","S/ 2,000.00","S/ 1,499.00"
"2017-08-28","televisores","linio","Micronics ‚<U+0080><U+0093> Parlante Con Bluetooth Target, Radio Fm, Usb, 70 Wats Y Control Remoto","S/ 199.99","S/ 139.90"
"2017-08-28","televisores","linio"," TV DAEWOO - TV LED HD 32"" L32R640ATS - COLOR NEGRO","S/ 900.00","S/ 549.00"
"2017-08-28","televisores","linio","Samsung Smart TV Curvo Ultra HD 4K 49'' Tizen UN49KU6500","S/ 2,999.00","S/ 2,459.00"
"2017-08-28","televisores","linio","Televisor Smart TV  Samsung UN48J5500 LED 48''","S/ 2,499.00","S/ 1,657.00"
"2017-08-28","televisores","linio","Televisor AOC LED 49'' Full HD LE49F1361 - Negro","S/ 1,599.00","S/ 1,269.00"
"2017-08-28","televisores","linio","Televisor  Smart Tv Lg 49lh5700 Led 49‚<U+0080>ù - Color Negro","S/ 1,999.00","S/ 1,549.00"
"2017-08-28","televisores","linio","TV LED Samsung UN48J5500AG Smart Full HD Tizen 48'' Negro/Plateado","S/ 2,500.00","S/ 1,699.00"
"2017-08-28","televisores","linio","Televisor 4K Samsung UN40JU6000 LED 40""-Negro","S/ 1,899.00","S/ 1,599.00"
"2017-08-28","televisores","linio","Soporte M√≥vil Plegable Rack LED/LCD 42"" - 65"" - Negro","S/ 199.00","S/ 129.00"
"2017-08-28","televisores","linio","Panasonic - TV LED 40'' MODELO 2016 PANASONIC - TC-40A400L - NEGRO","S/ 1,330.00","S/ 1,099.00"
"2017-08-28","televisores","linio","LED Panasonic TC-32A400L  High Definition Black","S/ 1,099.00","S/ 727.00"
"2017-08-28","televisores","linio","Samsung - Televisor LED HD 32"" UN32J4000 - Negro","S/ 1,249.00","S/ 799.00"
"2017-08-28","televisores","linio","TV Led Samsung UN49J5200AG Smart Hub - Wifi Full HD 49'' - Negro","S/ 1,999.00","S/ 1,499.00"
"2017-08-28","televisores","linio","TELEVISOR SONY LED SMART HD 32"" Motion Flow XR240 KDL-32W605D","S/ 1,400.00","S/ 1,129.00"
"2017-08-28","televisores","linio","AOC TV LED FULL HD 58"" LE58F1552","S/ 2,999.00","S/ 2,539.00"
"2017-08-28","televisores","linio","Televisor Samsung UN55J6500 Curvo Full HD Smart 55''-Plateado","S/ 4,599.00","S/ 3,299.00"
"2017-08-28","televisores","linio","TV Samsung Ultra HD 4K Smart Tizen 55'' Tizen 55KU6000 - Negro ","S/ 2,799.00","S/ 2,559.00"
"2017-08-28","televisores","linio","Tv LED  Samsung UN40J6400AG Full HD 40"" Smart 3D - Negro","S/ 1,899.00","S/ 1,329.00"
"2017-08-28","televisores","linio","NUEVO MODELO 2017 LG SMART TV FHD 43'' 43LJ5500","S/ 1,899.00","S/ 1,268.00"
"2017-08-28","televisores","linio","LG SMART TV UHD 43'' 43UJ6300","S/ 2,499.00","S/ 1,499.00"
"2017-08-28","televisores","linio","Tv led Daewoo 32"" L32R640ATS HD 720P- Negro","S/ 899.00","S/ 709.00"
"2017-08-28","televisores","linio","Televisor 43"" Lg Smart Fhd 43lj5500 - Color Negro","S/ 1,800.00","S/ 1,390.00"
"2017-08-28","televisores","linio","LG Ultra HD 4K Smart TV WebOs 3.0 LED 43'' 43UH6100",NA,"S/ 1,799.00"
"2017-08-28","televisores","linio","LG - TV Monitor LED 23.6"" HD - 24MT48AF-PM-Negro","S/ 799.00","S/ 467.00"
"2017-08-28","televisores","linio","Televisor Samsung UN48J6400 LED Full HD 48""Smart TIZEN 3D 2015-Negro",NA,"S/ 2,499.00"
"2017-08-28","televisores","linio","Televisor Led 28"" LG 28LJ400B - Negro","S/ 899.00","S/ 577.00"
"2017-08-28","televisores","linio","Parlante Multimedia Bluetooth, USB, Micro USb, Radio Luz Led","S/ 99.00","S/ 73.00"
"2017-08-28","televisores","linio","TV Samsung Smart UHD 55"" Curvo 55MU6500","S/ 4,999.00","S/ 3,199.00"
"2017-08-28","televisores","linio","Xen√≥n ‚<U+0080><U+0093> TV Led Digital 7‚<U+0080>ù PTV-750D","S/ 249.00","S/ 219.00"
"2017-08-28","televisores","linio","TV LG LED Smart Full HD 49LH5730 - Negro","S/ 1,899.00","S/ 1,579.00"
"2017-08-28","televisores","linio","Tv Led Smart Panasonic TC-49DS630L Full HD Bluetooth,  Wifi  - Plateado","S/ 2,000.00","S/ 1,799.00"
"2017-08-28","televisores","linio","Samsung - Televisor LED HD 32"" Smart UN32J4300 - Negro","S/ 1,289.00","S/ 999.00"
"2017-08-28","televisores","linio","Nex - Televisor LED 32"" HD LE3209TVA - Negro","S/ 799.00","S/ 534.00"
"2017-08-28","televisores","linio","Televisor Daewoo LED 24"" L24R630 - Negro","S/ 799.00","S/ 447.00"
"2017-08-28","televisores","linio","Televisor LG 43LF5410 LED Full HD 43''-Negro",NA,"S/ 1,599.00"
"2017-08-28","televisores","linio","Tv Samsung Smart  Super UHD Curvo 49KS7500","S/ 4,999.00","S/ 2,599.00"
"2017-08-28","televisores","linio","Monitor TV LG 24MT47A LED HD 23.6‚<U+0080>ù-Plateado","S/ 799.00","S/ 559.00"
"2017-08-28","televisores","linio","Samsung - Smart TV UN48J5300 LED Full HD 48'' - Negro",NA,"S/ 2,499.00"
"2017-08-28","televisores","linio","Sony - Televisor LED 32"" HD KDL-32R305C - Negro","S/ 1,249.00","S/ 999.00"
"2017-08-28","televisores","linio","Royal TV LED HD 16'' RY-L16A - Negro","S/ 399.00","S/ 299.00"
"2017-08-28","televisores","linio","Televisi√≥n Samsung UN32J4300 LED Smart 32""-Negro","S/ 1,299.00","S/ 848.00"
"2017-08-28","televisores","linio","SAMSUNG SMART TV UHD 65"" CURVO 65KU6500","S/ 8,999.00","S/ 5,433.00"
"2017-08-28","televisores","linio","LG - TELEVISOR 49"" ULTRA HD 4K 49UH6110 SMART TV - COLOR NEGRO","S/ 2,299.00","S/ 1,949.00"
"2017-08-28","televisores","linio","TELEVISOR SONY LED SMART FULL HD 40"" Motion Flow XR240 KDL-40W655D","S/ 1,900.00","S/ 1,599.00"
"2017-08-28","televisores","linio","Tv Led Monitor imaco HD 24'' - LED24HD- Negro.","S/ 599.00","S/ 419.00"
"2017-08-28","televisores","linio","Samsung TV Ultra HD 4K Smart Tizen 55'' Tizen UN55KU6000 - Negro.","S/ 3,299.00","S/ 2,379.00"
"2017-08-28","televisores","linio","Portable 9"" LCD TV Player w / FM / tarjeta SD / USB / cargador de coche - negro + plata (640 x 234)","S/ 256.00","S/ 205.00"
"2017-08-28","televisores","linio","LG - Televisor LED HD 32"" 32LH510B - Negro MODELO 2017EXCLUSIVO DE LG","S/ 899.00","S/ 749.00"
"2017-08-28","televisores","linio","LG - TELEVISOR MODELO 2016  LG TV LED FULL HD 49"" - 49LH5100","S/ 1,599.00","S/ 1,357.00"
"2017-08-28","televisores","linio","TELEVISOR Smart TV Full HD WebOS 3.0 Led 55"" 55LH6000 - Negro- LG","S/ 2,900.00","S/ 2,699.00"
"2017-08-28","televisores","linio","Samsung TV Smart Full HD Curvo 55'' Tizen UN55J6500 ","S/ 4,099.00","S/ 2,899.00"
"2017-08-28","televisores","linio","Royal TV LEd HD 19'' RY-19D - Negro","S/ 469.00","S/ 379.00"
"2017-08-28","televisores","linio","HAIER TV HD 28‚<U+0080>ù - Negro","S/ 699.00","S/ 485.00"
