"fecha","categoria","ecommerce","producto","precio.antes","precio.actual"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV FHD 49'' 49J5200
                    ","Normal: S/ 2,299","Internet: S/ 1,399"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV FHD 49"" CURVO 49K6500
                    ","Normal: S/ 2,799","Internet: S/ 1,699"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV FHD 55"" CURVO 55K6500
                    ","Normal: S/ 3,799","Internet: S/ 2,099"
"2017-08-29","televisores","ripley","
                      LG SMART TV FHD 49"" 49LJ5500
                    ","Normal: S/ 2,398","Internet: S/ 1,599"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 55"" 55UJ6300
                    ","Normal: S/ 2,999","Internet: S/ 2,199"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 49'' 49UJ6300
                    ","Normal: S/ 2,199","Internet: S/ 1,999"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV UHD 40'' 40MU6100
                    ","Normal: S/ 2,599","Internet: S/ 1,599"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV UHD 49'' 49MU6100
                    ","Normal: S/ 3,299","Internet: S/ 1,999"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV UHD 49'' CURVO 49MU6300
                    ","Normal: S/ 3,938","Internet: S/ 2,199"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 55'' 55UJ6510
                    ","Normal: S/ 3,199","Internet: S/ 2,799"
"2017-08-29","televisores","ripley","
                      LG SMART TV FHD 49''¬<U+0094> 49LH5700
                    ","Normal: S/ 2,399","Internet: S/ 1,499"
"2017-08-29","televisores","ripley","
                      LG SMART TV FHD 49"" 49LH6000
                    ","Normal: S/ 2,599","Internet: S/ 1,499"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV FHD 40‚<U+0080>ù CURVO 40K6500
                    ","Normal: S/ 2,199","Internet: S/ 1,599"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV UHD 55'' CURVO 55MU7500
                    ","Normal: S/ 6,599","Internet: S/ 3,999"
