"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-08-30","televisores","falabella","Samsung","LED-49-FHD-Curvo-Smart-TV-49K6500","S/ 2,799","S/ 1,699"
"2017-08-30","televisores","falabella","LG","LED-UHD-4K-43-43UJ6300-Smart-WebOS-3.5","S/ 1,499","S/ 1,399"
"2017-08-30","televisores","falabella","LG","LED-UHD-4K-49-49UJ6300-Smart-WebOS-3.5","S/ 1,799","S/ 1,699"
"2017-08-30","televisores","falabella","Samsung","LED-49-Ultra-HD-4K-Smart-TV-UN49MU6100GXPE","S/ 3,299","S/ 1,999"
"2017-08-30","televisores","falabella","Panasonic","LED-40-Smart-Full-HD-+-DVD-S700PU","S/ 1,799","S/ 1,199"
"2017-08-30","televisores","falabella","AOC","LED-43-FHD-Smart-TV-LE43D5542","S/ 1,299","S/ 1,099"
"2017-08-30","televisores","falabella","Sony","LED-55-FHD-Smart-TV-KDL-55W655DLA8","S/ 1,999","S/ 1,899"
"2017-08-30","televisores","falabella","LG","LED-49-Full-HD-49LJ5500-Smart-WebOS-3.5","S/ 2,099","S/ 1,499"
"2017-08-30","televisores","falabella","Samsung","LED-55-4K-Ultra-HD-Smart-TV","S/ 2,699","S/ 2,499"
"2017-08-30","televisores","falabella","LG","LED-55-Full-HD-55LJ5550-Smart-webOS-3.5","S/ 2,499","S/ 1,999"
"2017-08-30","televisores","falabella","LG","LED-UHD-4K-49-49UJ6510-Smart-WebOS-3.5","S/ 2,499","S/ 1,899"
"2017-08-30","televisores","falabella","Panasonic","LED-55-Smart-Ultra-HD-4K-55DX650-HDR","S/ 4,499","S/ 2,999"
"2017-08-30","televisores","falabella","Samsung","LED-49-Ultra-HD-Smart-TV-Curvo","S/ 3,599","S/ 2,199"
"2017-08-30","televisores","falabella","LG","LED-55-UHD-55UJ6580-4K-Smart-WebOS-3.5","S/ 3,099","S/ 2,599"
"2017-08-30","televisores","falabella","LG","LED-55-Super-UHD-4K-55SJ8000-Smart-WebOS-3.5","S/ 6,699","S/ 4,499"
"2017-08-30","televisores","falabella","Sony","Reproductor-Blu-ray-BDP-S1500-Negro","S/ 329","S/ 199"
"2017-08-30","televisores","falabella","Sony","Reproductor-Bluray-BDP-S3500-BME32-Wifi","S/ 399","S/ 249"
"2017-08-30","televisores","falabella","Sony","Reproductor-DVD-DVP-SR370-BCE32-MP3-JPG-USB-Negro","S/ 149","S/ 89"
"2017-08-30","televisores","falabella","Samsung","Bluray-USB-HDMI-BD-J4500-Negro",NA,"S/ 229"
"2017-08-30","televisores","falabella","Sony","LED-65-4K-Ultra-HD-65X855D-Android-TV","S/ 7,999","S/ 4,899"
"2017-08-30","televisores","falabella","LG","Reproductor-Blu-ray-BP250-Full-HD-Upscaling","S/ 219","S/ 199"
"2017-08-30","televisores","falabella","Sony","LED-48-FHD-Smart-TV-KDL-48W655D","S/ 2,299","S/ 1,599"
"2017-08-30","televisores","falabella","LG","Reproductor-DVD-DP132",NA,"S/ 99"
"2017-08-30","televisores","falabella","Samsung","LED-55-FHD-Curvo-Smart-TV-55K6500","S/ 3,799","S/ 2,099"
"2017-08-30","televisores","falabella","Samsung","QLED-65-Smart-TV-QN65Q8CAMGXPE-+-Soundbar-Curvo-M6500","S/ 13,999","S/ 10,999"
"2017-08-30","televisores","falabella","LG","OLED-55-Ultra-HD-4K-Smart-TV","S/ 8,599","S/ 4,999"
"2017-08-30","televisores","falabella","LG","OLED-65-Utra-HD-4K-Smart-TV","S/ 12,499","S/ 7,999"
"2017-08-30","televisores","falabella","AOC","LED-LE32S5970-Smart-TV-31.5-",NA,"S/ 799"
"2017-08-30","televisores","falabella","AOC","LED-LE43S5970-Smart-TV-43-","S/ 1,299","S/ 1,099"
"2017-08-30","televisores","falabella","AOC","LED-49-FHD-Smart-TV-LE49D5542","S/ 1,499","S/ 1,249"
"2017-08-30","televisores","falabella","AOC","LED-LE49S5970-Smart-TV-49-","S/ 1,499","S/ 1,249"
"2017-08-30","televisores","falabella","Sony","LED-4K-HDR-55-Smart-Android-TV-55X8","S/ 6,999","S/ 3,299"
"2017-08-30","televisores","falabella","Sony","LED-4K-HDR-55-Smart-Android-TV-55X9","S/ 8,499","S/ 3,999"
"2017-08-30","televisores","falabella","Samsung","LED-75-Ultra-HD-4K-Smart-TV-+-Soundbar-M360","S/ 13,999","S/ 9,999"
"2017-08-30","televisores","falabella","LG","LED-55-Full-HD-Smart-TV-WebOs-3.0-HDMI-USB","S/ 2,699","S/ 2,299"
"2017-08-30","televisores","falabella","LG","LED-32-HD-Smart-TV-32LH570B","S/ 1,049","S/ 999"
"2017-08-30","televisores","falabella","Samsung","LED-32-HD-Smart-TV-32J4300","S/ 1,099","S/ 999"
"2017-08-30","televisores","falabella","Sony","LED-65-UHD-Android-TV-XBR-65X755D","S/ 6,799","S/ 4,699"
"2017-08-30","televisores","falabella","LG","Proyector-LED-f1000ug",NA,"S/ 3,999"
"2017-08-30","televisores","falabella","LG","OLED-65''-OLED65E6-Ultra-HD-4K-Smart-webOS-3.0","S/ 17,999","S/ 16,999"
"2017-08-30","televisores","falabella","LG","LED-55-Super-UHD-Smart-TV-55UH7650","S/ 3,199","S/ 2,599"
"2017-08-30","televisores","falabella","Samsung","LED-Samsung-65-SUHD-Curvo-Smart-TV","S/ 12,799","S/ 5,999"
"2017-08-30","televisores","falabella","Sony","LED-40-FHD-Smart-TV-KDL-40W655D","S/ 1,799","S/ 1,399"
"2017-08-30","televisores","falabella","LG","Proyector-LED-1000-lm-HDMI-Blanco",NA,"S/ 2,299"
"2017-08-30","televisores","falabella","LG","Reproductor-Bluray-BP255-Smart","S/ 249","S/ 229"
"2017-08-30","televisores","falabella","Imaco","DVD-Portatil-de-9''-DVD910P-Negro",NA,"S/ 299"
"2017-08-30","televisores","falabella","Samsung","LED-49-Ultra-HD-4K-MU7000-Smart-TV-One-Remote","S/ 4,999","S/ 2,999"
"2017-08-30","televisores","falabella","Samsung","LED-32-HD-32J4000","S/ 1,099","S/ 899"
"2017-08-30","televisores","falabella","Prolink","Soporte-para-TV-Rack-32-65-con-DVD-Stand",NA,"S/ 99"
"2017-08-30","televisores","falabella","LG","LED-65-Super-UHD-4K-65SJ9500-Smart-WebOS-3.5","S/ 11,499","S/ 6,499"
"2017-08-30","televisores","falabella","Ddesign","Cable-HDMI-AM-AM-1.8M","S/ 24.90","S/ 15"
"2017-08-30","televisores","falabella","Samsung","LED-75-Ultra-HD-4K-MU7000-Smart-TV-+-Soundbar-M650","S/ 17,999","S/ 12,999"
"2017-08-30","televisores","falabella","Imaco","LED-19''-HD-LED19HD",NA,"S/ 399"
"2017-08-30","televisores","falabella","Macrotel","Cable-HDMI-MV-2310-1,8-mt",NA,"S/ 16.90"
"2017-08-30","televisores","falabella","LG","LED-86-Super-UHD-86SJ9570-4K-Smart-TV-WebOs-3.5","S/ 23,899","S/ 16,999"
"2017-08-30","televisores","falabella","Samsung","LED-55-Ultra-HD-UN55MU6300GXPE-Smart-TV-Curvo","S/ 3,999","S/ 2,899"
"2017-08-30","televisores","falabella","Sony","Bluray-3D-Wifi-BDP-S6700-Negro","S/ 699","S/ 399"
"2017-08-30","televisores","falabella","Prolink","Rack-23-70-Pulgadas-c-Brazo",NA,"S/ 99"
"2017-08-30","televisores","falabella","Samsung","LED-49-Ultra-HD-UN49MU6400GXPE-4K-Smart-TV","S/ 2,399","S/ 2,299"
"2017-08-30","televisores","falabella","Prolink","Rack-con-Brazo-para-Tv-Curva-de-32-a-65-",NA,"S/ 299"
"2017-08-30","televisores","falabella","Samsung","LED-49-Full-HD-Smart-TV-49J5200","S/ 2,299","S/ 1,399"
"2017-08-30","televisores","falabella","Sony","LED-4K-HDR-49-Smart-Android-TV-49X8","S/ 4,999","S/ 2,899"
"2017-08-30","televisores","falabella","LG","Proyector-LED-ph450ug",NA,"S/ 2,199"
"2017-08-30","televisores","falabella","Samsung","LED-40-Full-HD-Smart-TV-40J5200","S/ 1,399","S/ 1,199"
"2017-08-30","televisores","falabella","Prolink","Rack-para-TV-LED-LCD-PDP-de-26-a-42-pulgadas",NA,"S/ 69"
"2017-08-30","televisores","falabella","Samsung","LED-65-Ultra-HD-4K-Smart-TV-UN65MU6100GXPE","S/ 6,599","S/ 4,599"
"2017-08-30","televisores","falabella","LG","LED-65-UHD-65UJ6580-4K-Smart-WebOS-3.5","S/ 6,099","S/ 4,499"
"2017-08-30","televisores","falabella","LG","LED-65''-Super-UHD-4K-Smart-TV-webOS-3.0-65UH9500","S/ 14,599","S/ 5,299"
"2017-08-30","televisores","falabella","LG","LED-32-HD-Smart-TV-32LH570B-x2","S/ 2,598","S/ 1,799"
"2017-08-30","televisores","falabella","Samsung","LED-55-Ultra-HD-4K-UN55MU6400GXPE-Smart-TV","S/ 4,599","S/ 3,299"
"2017-08-30","televisores","falabella","Sony","LED-32-HD-Smart-TV-KDL-32W605D","S/ 1,299","S/ 1,099"
"2017-08-30","televisores","falabella","LG","LED-UHD-4K-55-55UJ6300-Smart-WebOS-3.5","S/ 2,099","S/ 1,999"
"2017-08-30","televisores","falabella","Sony","LED-85-4K-HDR-XBR-85X855D-LA8-HDMI","S/ 29,999","S/ 17,999"
"2017-08-30","televisores","falabella","LG","LED-43-FHD-43LH5000","S/ 1,399","S/ 1,199"
"2017-08-30","televisores","falabella","Samsung","Promo-Home-Theater-HT-J4500",NA,"S/ 799"
"2017-08-30","televisores","falabella","Macrotel","Antena-TV-Digital-para-Interiores",NA,"S/ 29.90"
"2017-08-30","televisores","falabella","Samsung","LED-49-Ultra-HD-UN49MU6500GXPE-Smart-TV-Curvo","S/ 4,599","S/ 2,599"
"2017-08-30","televisores","falabella","Google","Google-Chromecast-Ii-2015-HDMI",NA,"S/ 269"
"2017-08-30","televisores","falabella","LG","LED-UHD-4K-75-75UJ6580-Smart-WebOS-3.5","S/ 11,499","S/ 8,999"
"2017-08-30","televisores","falabella","Ddesign","Cable-de-Audio-1,8-m","S/ 14.90","S/ 5.90"
