"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Neceser para Caballe...",NA,"S/ 379"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Morral para Caballer...","S/ 839","S/ 649"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Morral para Caballer...","S/ 839","S/ 669"
"2017-09-13","Accesorios-Hombre","Falabella","Dockers","Billetera Euro S Neg...",NA,"S/ 149"
"2017-09-13","Accesorios-Hombre","Falabella","Doo Australia","Mochila Maite","S/ 149","S/ 79"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Organizador para Cab...","S/ 629","S/ 499"
"2017-09-13","Accesorios-Hombre","Falabella","Doo Australia","Mochila Malva","S/ 179","S/ 89"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Neceser para Caballe...",NA,"S/ 379"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Billetera para Cabal...","S/ 279","S/ 219"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Neceser para Caballe...","S/ 539","S/ 429"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Billetera Para Cabal...","S/ 169","S/ 129"
"2017-09-13","Accesorios-Hombre","Falabella","Dockers","Billetera Bifold Neg...",NA,"S/ 159"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Billetera para Cabal...",NA,"S/ 169"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj de Metal Mujer","S/ 519","S/ 337.35"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Acero Bl...","S/ 1,149","S/ 509"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Cuero N...","S/ 669","S/ 499"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Dama Mk3561","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj de Metal Mujer","S/ 509","S/ 330.85"
"2017-09-13","Accesorios-Hombre","Falabella","Citizen","Reloj Hombre Acero P...","S/ 999","S/ 649.35"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Acero Do...","S/ 999","S/ 429"
"2017-09-13","Accesorios-Hombre","Falabella","Royal London","Reloj Mujer Cuero Ne...","S/ 349","S/ 209.40"
"2017-09-13","Accesorios-Hombre","Falabella","Swiss Legend","Reloj Mujer Legend S...","S/ 2,099","S/ 1,049.50"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Intrepid...","S/ 1,199","S/ 699"
"2017-09-13","Accesorios-Hombre","Falabella","Stührling","Reloj Hombre Cuero S...","S/ 799","S/ 399.50"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Dorado","S/ 899","S/ 399"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Analógic...","S/ 599","S/ 389.35"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Hombre Casio E...","S/ 989","S/ 593.40"
"2017-09-13","Accesorios-Hombre","Falabella","Citizen","Reloj Hombre Acero P...","S/ 999","S/ 649.35"
"2017-09-13","Accesorios-Hombre","Falabella","Deluxe","Reloj Hombre Análogo","S/ 149","S/ 104.30"
"2017-09-13","Accesorios-Hombre","Falabella","Deluxe","Reloj Hombre Análogo","S/ 149","S/ 104.30"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Multifu...","S/ 898.99","S/ 499"
