"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","sku","rangos"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 49'' CURVO 49MU6300",3938,2099,"MU6300","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55'' CURVO 55MU6300",4698,2799,"MU6300","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 49'' 49MU6400",3999,2299,"MU6400","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 49'' 49MU6100",3299,1899,"MU6100","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 49'' CURVO 49MU6500",4599,1999,"MU6500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV FHD 49 CURVO 49K6500",2799,1899,"49K6500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 49'' 49UJ6560",2399,1899,"UJ6560","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 55'' 55UJ6510",3199,2599,"UJ6510","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV 55'' UHD 55UH6030",3999,2099,"UH6030","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 55'' 55UH7650",3199,2599,"UH7650","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV HD 32'' 32LH570B",1299,849,"LH570","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 43'' 43LJ5500",1699,1499,"LJ5500","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 55 55UJ6300",NA,2999,"UJ6300","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Samsung","SMART TV FHD 55 CURVO 55K6500",3799,2599,"55K6500","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 49'' 49UJ6300",2199,1999,"UJ6300","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Sony","SMART TV FHD 55 KDL-55W655D",2999,2099,"55W655","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 49 49LJ5500",2099,1699,"LJ5500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 43'' 43UJ6300",1799,1599,"UJ6300","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV FHD 49'' 49J5200",2299,1599,"49J5200","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 40'' 40MU6100",2599,1499,"MU6100","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 55'' 55LJ5500",3299,2199,"LJ5500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Samsung","SMART TV QLED UHD 75'' CURVO 75Q8C",21999,15999,"75Q8C","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV QLED UHD 55'' 55Q7F",8999,5999,"55Q7F","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV QLED UHD 65'' CURVO 65Q8C",13999,10999,"65Q8C","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV OLED UHD 55'' 55B7P",8599,5499,"55B7P","> S/.4,500"
