categoria;url;paginas;distribucion
Hombre;www.falabella.com.pe/falabella-pe/category/cat7230497/Accesorios-Hombre;37;?No=576&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat7230498/Accesorios-Mujer;4;?No=48&Nrpp=16
Accesorios;www.falabella.com.pe/falabella-pe/category/cat7230499/Carteras-y-Bolsos;23;?No=352&Nrpp=16
Accesorios;www.falabella.com.pe/falabella-pe/category/cat4350568/Joyas;8;?No=112&Nrpp=16
Varios;www.falabella.com.pe/falabella-pe/category/cat510499/Lentes-de-Sol;2;?No=16&Nrpp=16
Muebles y Decohogar;www.falabella.com.pe/falabella-pe/category/cat950500/Maletas-y-Mochilas;1;
Accesorios;www.falabella.com.pe/falabella-pe/category/cat2090462/Marcas-Accesorios;145;?No=2304&Nrpp=16
Accesorios;www.falabella.com.pe/falabella-pe/category/cat40758/Relojes;55;?No=864&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat6530467/Belleza-Hombre;16;?No=240&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat5130510/Cuidado-del-Cabello;1;
Belleza;www.falabella.com.pe/falabella-pe/category/cat3950475/Cuidado-del-Cuerpo;1;
Belleza;www.falabella.com.pe/falabella-pe/category/cat5130511/Cuidado-del-Rostro;19;?No=288&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat40771/Secadoras-de-Cabello;2;?No=16&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat40479/Alisadoras-de-Cabello;3;?No=32&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat40715/Onduladores-de-Cabello;1;
Belleza;www.falabella.com.pe/falabella-pe/category/cat40570/Depiladoras;1;
Belleza;www.falabella.com.pe/falabella-pe/category/cat40475/Afeitadoras;2;?No=16&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat40501/Bienestar;3;?No=32&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat7230478/Ver-Todo-Cuidado-Personal;1;
Belleza;www.falabella.com.pe/falabella-pe/category/cat560663/Maquillaje;108;?No=1712&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat2610467/Marcas-de-Belleza;156;?No=2480&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat40727/Perfumes;40;?No=624&Nrpp=16
Belleza;www.falabella.com.pe/falabella-pe/category/cat7710489/Promos-ocultas;1;
Deportes;www.falabella.com.pe/falabella-pe/category/cat40500/Bicicletas;34;?No=528&Nrpp=16
