"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15776521/Neceser-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push",NA,"S/ 379"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15776512/Morral-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 839","S/ 649"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15854519/Morral-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 839","S/ 669"
"2017-09-09","Accesorios-Hombre","Falabella","Dockers","/falabella-pe/product/15755584/Billetera-Euro-S-Negro;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push",NA,"S/ 149"
"2017-09-09","Accesorios-Hombre","Falabella","Doo Australia","/falabella-pe/product/880690705/Mochila-Maite;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push&color=Azul","S/ 149","S/ 79"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15854512/Organizador-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 629","S/ 499"
"2017-09-09","Accesorios-Hombre","Falabella","Doo Australia","/falabella-pe/product/880688543/Mochila-Malva;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push&color=Burgundy","S/ 179","S/ 89"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15776522/Neceser-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push",NA,"S/ 379"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15854503/Billetera-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 279","S/ 219"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15854513/Neceser-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 539","S/ 429"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15864738/Billetera-Para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 169","S/ 129"
"2017-09-09","Accesorios-Hombre","Falabella","Dockers","/falabella-pe/product/15755585/Billetera-Bifold-Negro;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push",NA,"S/ 159"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15254300/Billetera-para-Caballero;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push",NA,"S/ 169"
"2017-09-09","Accesorios-Hombre","Falabella","Casio","/falabella-pe/product/14462989/Reloj-de-Metal-Mujer;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 519","S/ 337.35"
"2017-09-09","Accesorios-Hombre","Falabella","Guess","/falabella-pe/product/15093400/Reloj-Mujer-Acero-Blanco;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 1,149","S/ 509"
"2017-09-09","Accesorios-Hombre","Falabella","Fossil","/falabella-pe/product/15757475/Reloj-Hombre-Cuero-Negro;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 669","S/ 499"
"2017-09-09","Accesorios-Hombre","Falabella","Michael Kors","/falabella-pe/product/15758282/Reloj-Dama-Mk3561;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 1,109","S/ 730"
"2017-09-09","Accesorios-Hombre","Falabella","Casio","/falabella-pe/product/14462990/Reloj-de-Metal-Mujer;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 509","S/ 330.85"
"2017-09-09","Accesorios-Hombre","Falabella","Citizen","/falabella-pe/product/15816471/Reloj-Hombre-Acero-Plateado;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 999","S/ 649.35"
"2017-09-09","Accesorios-Hombre","Falabella","Royal London","/falabella-pe/product/15791201/Reloj-Mujer-Cuero-Negro;jsessionid=uBBaaxI9UzehiXD7wJSUxy6N.node35?navAction=push","S/ 349","S/ 209.40"
