"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"ripley","samsung","samsung smart tv led 48"" full hd 48j5300",2299,1599,48,"S/.1500 - S/.2500"
"ripley","lg","lg smart tv web os 40"" full hd 40lf6350",2218,1299,40,"S/.500 - S/.1500"
"ripley","lg","lg smart tv led uhd 43'' 43uf6400",2499,1599,43,"S/.1500 - S/.2500"
"ripley","lg","lg smart tv 65""Ä‚ù uhd 3d 65uf8500",9999,5899,65,"> S/.4,500"
"ripley","lg","lg tv led 49"" fhd cinema 3d 49lf6450",2899,2169,49,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv led full hd 50"" 50j5300",3127,1899,50,"S/.1500 - S/.2500"
"ripley","lg","lg tv led 49"" full hd smart 49lf5900",2399,1769,49,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv led fhd 48"" curvo un48j6500",2999,2399,48,"S/.1500 - S/.2500"
"ripley","lg","lg smart tv 55"" fhd 55lf6350 - negro",3199,2499,55,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv ultra hd 55'' 55ju6700",5499,3999,55,"S/.3500 - S/.4500"
"ripley","haier","haier televisor led le50k5000n 50""",1799,1599,50,"S/.1500 - S/.2500"
"ripley","lg","lg smart tv led 65"" ultra hd 4k 65uf6800",7299,4899,65,"> S/.4,500"
"ripley","samsung","samsung smart tv led full hd 48'' 48j5500",2499,1899,48,"S/.1500 - S/.2500"
"ripley","lg","lg smart tv 55"" uhd 3d 55uf8500",5999,3999,55,"S/.3500 - S/.4500"
"ripley","lg","lg smart tv 49"" uhd 3d 49uf8500",5099,3499,49,"S/.2500 - S/.3500"
"ripley","lg","lg tv led 58"" ultra hd smart 58uf8300",5999,3399,58,"S/.2500 - S/.3500"
"ripley","lg","lg smart tv led 60'' uhd 60uf7700",5799,3899,60,"S/.3500 - S/.4500"
"ripley","lg","lg tv led 60"" full hd smart lf6350",4399,2899,60,"S/.2500 - S/.3500"
"ripley","lg","lg smart tv 55"" fhd 3d 55lf6500",3699,2899,55,"S/.2500 - S/.3500"
"ripley","samsung","samsung smart tv led full hd 42.5'' un43j5200agxpe",1699,1599,5,"S/.1500 - S/.2500"
"ripley","samsung","samsung tv led hd 32'' 32jh4005",999,799,32,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led uhd 55"" 55ju6500",4299,3499,55,"S/.2500 - S/.3500"
"ripley","aoc","aoc tv led 24"" hd le24h1351",NA,549,24,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led hd 32"" 32j4300",1299,999,32,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led 48'' uhd 48ju6000",2599,2399,48,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv led uhd 65"" 65ju6500",8999,5999,65,"> S/.4,500"
"ripley","lg","lg smart tv led 55"" ultra hd 4k 55uf6800",3799,3299,55,"S/.2500 - S/.3500"
"ripley","lg","lg smart tv oled full hd 55'' 3d curvo 55eg9100",9999,7099,55,"> S/.4,500"
"ripley","lg","lg tv 43"" full hd 43lf5410",1549,1399,43,"S/.500 - S/.1500"
"ripley","lg","lg tv 32"" hd 32lf550b",999,899,32,"S/.500 - S/.1500"
"ripley","lg","lg tv led curvo 65"" ultra hd 4k cinema smart ug8700",10999,6999,65,"> S/.4,500"
"ripley","lg","lg smart tv 65"" uhd 3d 65uf9500",13999,9899,65,"> S/.4,500"
